QuestionID,QuestionType,Question,Answer,Selection,True_ANS
Q3-011,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: ZnH8(C2N)4, Zr3C24(N3O4)4, EuH12(C7O2)3, Co4H24C40N32Cl.",Co4H24C40N32Cl,A. ZnH8(C2N)4; B. Zr3C24(N3O4)4; C. EuH12(C7O2)3; D. Co4H24C40N32Cl,D
Q3-012,Multi-Attribute Query,"Which material in the given list has both LCD > 10 Å and PLD > 5 Å? Given list is: CdH6(C2O5)2, AgH4(C3N2)2, GdZnH10C20N3O10, Cu6H56C92N8O29.",Cu6H56C92N8O29,A. CdH6(C2O5)2; B. AgH4(C3N2)2; C. GdZnH10C20N3O10; D. Cu6H56C92N8O29,D
Q3-013,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: AlPO4, PrH6(C3O4)3, EuH14C20N5O7, ZnCoH24C30(NO2)2.",AlPO4,A. AlPO4; B. PrH6(C3O4)3; C. EuH14C20N5O7; D. ZnCoH24C30(NO2)2,A
Q3-014,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: CuH14C24NO4, NiH24C30(NO3)2, Gd9H88C96(N3O20)2, LaP3H21C9(NO3)3.",CuH14C24NO4,A. CuH14C24NO4; B. NiH24C30(NO3)2; C. Gd9H88C96(N3O20)2; D. LaP3H21C9(NO3)3,A
Q3-015,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: Zn4C24N12O13, ZnH14C24NO4, ZnH8C15(NO)4, CoH8C8N5O2.",ZnH14C24NO4,A. Zn4C24N12O13; B. ZnH14C24NO4; C. ZnH8C15(NO)4; D. CoH8C8N5O2,B
Q3-016,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: CoH14C24NO4, Zn4Si3H68(C6O)14, ScH4C8O5, Zn2H16C22N13(ClO)6.",CoH14C24NO4,A. CoH14C24NO4; B. Zn4Si3H68(C6O)14; C. ScH4C8O5; D. Zn2H16C22N13(ClO)6,A
Q3-017,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: Cu2H44C43(NO7)2, Mg3H24C42N6O25, ZnH20C14N4O9, MgH8C13NO5.",Cu2H44C43(NO7)2,A. Cu2H44C43(NO7)2; B. Mg3H24C42N6O25; C. ZnH20C14N4O9; D. MgH8C13NO5,A
Q3-018,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: NiH8C8N5O2, Co2H23C34(NO2)5, Mg2H12C16N5O11, Cu2H32C37(NO5)2.",Cu2H32C37(NO5)2,A. NiH8C8N5O2; B. Co2H23C34(NO2)5; C. Mg2H12C16N5O11; D. Cu2H32C37(NO5)2,D
Q3-019,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: Pr2H17C24N5O18, CuH16C21N2O5, PrH4(C3O4)2, Cu4H40C64N16ClO16.",Cu4H40C64N16ClO16,A. Pr2H17C24N5O18; B. CuH16C21N2O5; C. PrH4(C3O4)2; D. Cu4H40C64N16ClO16,D
Q3-020,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: NiH12C18(NO)10, Zn2Co3B3H117C99N9O20, Mn2H30C50S(N3O4)2, Zn4H18C50N8O13.",Zn2Co3B3H117C99N9O20,A. NiH12C18(NO)10; B. Zn2Co3B3H117C99N9O20; C. Mn2H30C50S(N3O4)2; D. Zn4H18C50N8O13,B
Q3-021,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: MnH8C17(O2F3)2, Nd2H24C26O17, CoH20C18(NO)4, CuH5C13(NO2)2.",CuH5C13(NO2)2,A. MnH8C17(O2F3)2; B. Nd2H24C26O17; C. CoH20C18(NO)4; D. CuH5C13(NO2)2,D
Q3-022,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: InH24C24(NO)8, Mn7H76C108N8(Cl2O15)2, Th22S26O137, MnH3(C3O2)3.",Th22S26O137,A. InH24C24(NO)8; B. Mn7H76C108N8(Cl2O15)2; C. Th22S26O137; D. MnH3(C3O2)3,C
Q3-023,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: LaH24C44S4(NO3)4, Dy2H6(C6O5)3, CuH26(C10O)4, In2CoH6C18(BrO7)2.",CuH26(C10O)4,A. LaH24C44S4(NO3)4; B. Dy2H6(C6O5)3; C. CuH26(C10O)4; D. In2CoH6C18(BrO7)2,C
Q3-024,Multi-Attribute Query,"Which material in the given list has open metal sites and LCD > 10 Å? Given list is: Cu3H17C51N3O20, ZnH16C22(N3O)2, DyH4C12(SO4)2, Pr4H22C14N28O25.",Cu3H17C51N3O20,A. Cu3H17C51N3O20; B. ZnH16C22(N3O)2; C. DyH4C12(SO4)2; D. Pr4H22C14N28O25,A
Q3-025,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: CoH12C24NO4, AlPO4, NiH8C10SN2O7, CdH14(C9N7)2.",AlPO4,A. CoH12C24NO4; B. AlPO4; C. NiH8C10SN2O7; D. CdH14(C9N7)2,B
Q3-026,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: Zn3H28C36(NO8)2, Cr(C8N5)2, CuH14C24NO4, CuH12(CN2)12.",CuH14C24NO4,A. Zn3H28C36(NO8)2; B. Cr(C8N5)2; C. CuH14C24NO4; D. CuH12(CN2)12,C
Q3-027,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: ZnH60C60(N7O6)2, Ga3FeP4H22C8(N3O8)2, ZnH14C24NO4, LaGdH12(C4O5)3.",ZnH14C24NO4,A. ZnH60C60(N7O6)2; B. Ga3FeP4H22C8(N3O8)2; C. ZnH14C24NO4; D. LaGdH12(C4O5)3,C
Q3-028,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: ZnH15C11N2ClO2, Mn3H11(C3O2)9, GaH4(C3O2)4, CoH14C24NO4.",CoH14C24NO4,A. ZnH15C11N2ClO2; B. Mn3H11(C3O2)9; C. GaH4(C3O2)4; D. CoH14C24NO4,D
Q3-029,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: Cs2Cu2Si6H21(CO2)6, Zn2H16C23I2(N3O2)2, Cd7H184C176(N2O15)4, Zn2H41C59(N2O3)4.",Cs2Cu2Si6H21(CO2)6,A. Cs2Cu2Si6H21(CO2)6; B. Zn2H16C23I2(N3O2)2; C. Cd7H184C176(N2O15)4; D. Zn2H41C59(N2O3)4,A
Q3-030,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: CoH4C6(NO2)2, Cu2H44C43(NO7)2, MnH24(C5N)8, NdH10C9BrNO8.",Cu2H44C43(NO7)2,A. CoH4C6(NO2)2; B. Cu2H44C43(NO7)2; C. MnH24(C5N)8; D. NdH10C9BrNO8,B
Q3-031,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: Fe5P6(HO3)6, ZnH11C19NO4, LaH24C44S4(NO3)4, Cu2H32C37(NO5)2.",Cu2H32C37(NO5)2,A. Fe5P6(HO3)6; B. ZnH11C19NO4; C. LaH24C44S4(NO3)4; D. Cu2H32C37(NO5)2,D
Q3-032,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: FeH8C17S2N9, In2H16C30N5O11, Zn4H76C65O22, In2H3C10(NO7)2.",Zn4H76C65O22,A. FeH8C17S2N9; B. In2H16C30N5O11; C. Zn4H76C65O22; D. In2H3C10(NO7)2,C
Q3-033,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: Zn2H9(CN2)6, ZnH13C12N5O2, Cu4H40C64N16ClO16, Co2H14C24Br4N4O9.",Cu4H40C64N16ClO16,A. Zn2H9(CN2)6; B. ZnH13C12N5O2; C. Cu4H40C64N16ClO16; D. Co2H14C24Br4N4O9,C
Q3-034,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: ZnHC4N11, Zn2H20C36N5O8, FeH16C28S4N7, CuH16C20S2(N2O3)2.",Zn2H20C36N5O8,A. ZnHC4N11; B. Zn2H20C36N5O8; C. FeH16C28S4N7; D. CuH16C20S2(N2O3)2,B
Q3-035,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: ZnH2C7NO4, Zn2Co3B3H117C99N9O20, CoH13C18N3O4, InH9C22NO8.",Zn2Co3B3H117C99N9O20,A. ZnH2C7NO4; B. Zn2Co3B3H117C99N9O20; C. CoH13C18N3O4; D. InH9C22NO8,B
Q3-036,Multi-Attribute Query,"Which material in the given list has ASA_m2_g > 1000 m²/g and PLD > 4 Å? Given list is: LiH17C24(NO)6, KH40(C6O5)4, Cu3H12C6(I2N)2, CuH5C13(NO2)2.",CuH5C13(NO2)2,A. LiH17C24(NO)6; B. KH40(C6O5)4; C. Cu3H12C6(I2N)2; D. CuH5C13(NO2)2,D
